,date,cust_1,cust_2,cust_3,cust_4,cust_5,cust_6,cust_7,cust_8,cust_9,cust_10,cust_11,cust_12,cust_13,cust_14,cust_15
69,2013-03-11,18,17,16,12,11,9,9,21,12,8,34,35,44,39,30
70,2013-03-12,14,20,19,18,18,13,12,20,13,24,30,54,50,38,28
71,2013-03-13,13,22,21,15,14,10,18,16,15,15,36,66,51,45,27
72,2013-03-14,10,17,22,15,12,14,15,21,22,14,44,45,50,44,36
73,2013-03-15,14,17,15,21,12,11,13,28,14,15,52,67,46,55,41
74,2013-03-16,10,23,21,17,12,16,13,12,16,21,58,70,52,56,45
75,2013-03-17,22,20,23,17,13,23,16,24,20,10,46,68,64,62,43
76,2013-03-18,11,12,11,12,11,8,12,15,14,24,37,36,45,31,28
77,2013-03-19,19,17,16,19,14,8,14,15,16,15,48,43,53,42,35
78,2013-03-20,14,20,13,13,15,14,11,15,20,22,43,53,36,39,26
79,2013-03-21,17,25,15,20,11,19,9,21,16,20,43,63,54,50,33
80,2013-03-22,21,28,23,20,13,8,10,25,15,15,30,61,64,41,35
81,2013-03-23,21,30,17,17,15,9,12,26,17,14,51,76,46,55,30
82,2013-03-24,19,30,26,14,16,13,8,23,24,18,40,61,58,56,36
83,2013-03-25,13,17,15,19,6,11,8,12,13,20,34,33,36,35,31
84,2013-03-26,16,23,25,4,4,9,13,20,18,16,27,52,50,49,28
85,2013-03-27,11,17,19,16,8,12,7,10,16,20,33,54,52,51,26
86,2013-03-28,13,21,17,16,14,15,14,22,15,19,38,69,43,47,30
87,2013-03-29,17,21,14,18,19,11,14,24,22,21,45,62,56,45,28
88,2013-03-30,19,26,21,15,12,10,11,26,19,22,51,66,67,49,38
89,2013-03-31,20,23,20,28,23,11,16,25,20,17,44,69,76,55,39
90,2013-04-01,11,16,15,12,9,12,6,18,20,15,40,58,45,38,25
91,2013-04-02,19,29,22,23,14,12,13,17,20,18,44,63,46,44,38
92,2013-04-03,24,34,21,17,15,15,15,25,19,25,40,74,51,45,26
93,2013-04-04,18,30,24,23,13,22,21,31,27,20,53,74,43,48,33
94,2013-04-05,19,23,20,22,17,12,10,26,22,28,45,69,65,48,38
95,2013-04-06,23,28,36,20,18,20,14,22,20,18,46,62,64,67,42
96,2013-04-07,17,32,31,27,18,21,17,28,22,31,57,84,80,62,49
97,2013-04-08,19,15,20,26,14,10,9,24,17,13,44,56,47,43,23
98,2013-04-09,13,23,12,17,13,10,15,12,17,17,31,64,51,51,31
99,2013-04-10,19,16,19,23,15,12,13,21,22,23,49,62,58,54,45
100,2013-04-11,16,26,29,17,17,12,22,22,27,14,41,63,55,55,47
101,2013-04-12,18,22,24,16,14,19,21,28,27,20,53,72,60,47,44
102,2013-04-13,17,26,25,24,12,14,16,26,21,29,50,77,68,66,46
103,2013-04-14,26,39,31,22,17,21,21,23,31,28,53,76,67,72,45
104,2013-04-15,14,17,15,15,14,14,7,20,7,16,28,58,49,39,41
105,2013-04-16,9,19,24,17,10,6,13,26,14,17,45,59,50,51,25
106,2013-04-17,17,25,15,23,11,7,16,20,20,20,45,57,60,33,40
107,2013-04-18,21,28,19,19,14,15,12,29,23,29,45,47,52,52,35
108,2013-04-19,22,29,23,19,12,13,27,16,15,20,58,70,56,65,36
109,2013-04-20,22,29,23,24,15,12,18,28,27,23,26,81,67,49,52
110,2013-04-21,20,22,19,27,18,26,20,34,29,23,48,73,82,67,48
111,2013-04-22,13,17,20,10,7,12,7,20,18,20,27,53,41,37,31
112,2013-04-23,11,19,31,19,12,12,10,22,12,16,38,48,53,51,33
113,2013-04-24,13,21,16,30,8,12,8,20,18,27,40,66,53,66,44
114,2013-04-25,14,31,24,15,15,18,12,25,25,25,51,54,56,38,28
115,2013-04-26,20,29,15,26,13,11,17,25,24,23,48,72,61,57,41
116,2013-04-27,22,25,35,18,14,21,16,18,21,18,42,67,73,64,33
117,2013-04-28,19,20,34,23,15,15,23,35,22,24,53,68,85,69,47
118,2013-04-29,11,21,12,13,9,10,12,13,17,19,36,60,51,35,22
119,2013-04-30,15,32,19,20,13,18,11,19,23,17,40,65,47,60,37
120,2013-05-01,16,29,24,20,14,17,10,14,23,16,51,63,54,62,34
121,2013-05-02,23,30,21,19,13,13,16,31,21,27,54,71,72,61,38
122,2013-05-03,22,28,23,17,21,19,6,24,10,20,49,71,67,58,36
123,2013-05-04,20,29,31,29,23,14,14,24,34,29,49,91,76,60,49
124,2013-05-05,14,32,30,22,20,23,10,26,24,25,60,93,66,74,45
125,2013-05-06,14,20,18,17,18,20,13,22,18,16,38,50,43,41,31
126,2013-05-07,15,21,21,23,14,18,14,32,19,18,43,69,53,63,28
127,2013-05-08,14,29,23,16,11,18,16,17,12,23,45,52,58,55,39
128,2013-05-09,11,25,33,31,11,16,12,31,17,22,46,60,73,62,36
129,2013-05-10,16,35,28,28,18,13,12,23,31,28,58,92,64,54,42
130,2013-05-11,19,23,28,26,17,13,14,32,18,18,63,78,72,76,41
131,2013-05-12,13,38,24,19,14,16,18,29,25,28,53,67,69,67,46
132,2013-05-13,9,20,15,17,13,18,15,13,16,21,49,71,43,45,32
133,2013-05-14,13,30,23,17,16,11,10,23,18,35,35,68,60,53,41
134,2013-05-15,16,26,15,23,12,17,16,26,17,19,43,76,61,59,37
135,2013-05-16,15,26,30,17,11,11,9,22,17,32,49,82,54,51,40
136,2013-05-17,16,45,28,21,9,14,13,29,22,23,45,90,64,80,44
137,2013-05-18,20,28,27,20,18,11,15,32,21,31,53,66,70,77,37
138,2013-05-19,19,29,25,28,19,22,21,28,32,32,53,111,79,79,51
139,2013-05-20,14,20,19,18,17,6,10,28,17,17,38,57,42,55,47
140,2013-05-21,24,22,15,14,8,20,14,22,17,11,53,63,52,55,60
141,2013-05-22,23,25,25,22,14,22,10,18,13,26,38,65,58,63,49
142,2013-05-23,14,31,18,15,18,18,9,26,18,34,69,78,58,64,38
143,2013-05-24,24,16,22,31,22,18,10,26,23,21,48,68,54,60,45
144,2013-05-25,25,24,27,28,16,19,17,40,28,26,45,82,85,74,40
145,2013-05-26,27,42,29,26,25,14,21,31,22,22,64,73,72,70,45
146,2013-05-27,7,18,26,22,11,15,8,18,18,12,38,54,54,79,42
147,2013-05-28,12,17,20,20,22,13,14,28,19,29,48,83,60,55,48
148,2013-05-29,10,26,26,27,15,22,9,24,22,12,44,68,60,53,32
149,2013-05-30,19,26,14,30,20,16,10,10,16,16,48,70,63,70,45
150,2013-05-31,27,33,27,25,13,15,13,18,22,21,58,80,64,51,40
151,2013-06-01,26,44,26,25,16,21,22,29,29,25,55,74,80,59,41
152,2013-06-02,22,44,28,28,22,16,23,35,21,35,51,82,73,80,48
153,2013-06-03,12,23,17,22,12,13,12,20,19,26,43,60,44,42,26
154,2013-06-04,15,22,24,28,19,16,13,22,16,33,41,79,53,61,44
155,2013-06-05,24,32,23,23,12,12,19,29,28,16,67,64,63,53,34
156,2013-06-06,9,29,20,21,16,15,6,26,29,15,43,82,57,61,32
157,2013-06-07,21,28,24,32,16,23,11,25,24,30,69,79,74,60,36
158,2013-06-08,20,36,31,21,20,22,16,28,28,29,52,77,78,53,56
159,2013-06-09,38,22,29,18,12,24,15,34,26,38,65,119,80,93,54
160,2013-06-10,20,16,17,21,9,20,11,25,16,17,48,59,49,39,39
161,2013-06-11,18,26,25,28,16,16,16,34,19,29,49,68,60,61,43
162,2013-06-12,22,25,26,23,17,21,16,28,21,18,56,65,74,45,40
163,2013-06-13,21,26,28,22,18,16,21,29,21,22,57,75,58,50,42
164,2013-06-14,22,33,26,20,21,16,12,30,22,18,58,73,61,66,37
165,2013-06-15,26,37,20,23,13,22,16,25,29,33,52,100,52,72,47
166,2013-06-16,23,34,22,24,25,21,10,35,30,32,52,104,82,76,49
167,2013-06-17,13,26,22,26,13,11,14,22,25,18,55,64,46,57,36
168,2013-06-18,21,22,26,19,17,11,15,25,20,23,45,58,70,45,32
169,2013-06-19,18,18,20,18,12,14,24,28,26,25,48,70,51,47,51
170,2013-06-20,24,21,33,30,19,17,19,31,16,15,44,80,77,63,47
171,2013-06-21,19,36,25,30,27,15,19,28,18,28,47,86,58,66,40
172,2013-06-22,23,28,28,27,12,13,19,30,26,34,60,86,82,63,51
173,2013-06-23,24,30,29,24,20,24,19,27,38,28,55,99,78,89,61
174,2013-06-24,17,25,20,27,11,14,11,22,21,20,60,55,49,65,36
175,2013-06-25,21,32,20,14,22,21,13,21,20,16,50,64,55,71,40
176,2013-06-26,21,26,22,18,17,13,10,27,23,18,69,68,75,46,40
177,2013-06-27,26,25,24,20,23,19,16,26,24,23,64,76,65,66,38
178,2013-06-28,17,24,32,16,12,20,22,28,19,23,71,76,70,47,55
179,2013-06-29,20,27,28,34,16,22,21,33,29,30,56,77,71,69,60
180,2013-06-30,24,28,33,25,20,21,20,29,38,28,61,94,84,59,51
181,2013-07-01,23,24,20,18,24,20,10,23,23,21,46,76,63,56,40
182,2013-07-02,17,19,24,21,14,23,13,21,25,25,48,75,64,56,39
183,2013-07-03,12,30,20,25,12,15,15,26,18,25,57,72,66,83,38
184,2013-07-04,24,25,25,21,14,14,14,36,20,22,50,85,73,66,47
185,2013-07-05,17,42,29,22,16,19,19,34,37,26,58,97,66,68,63
186,2013-07-06,16,32,29,25,20,18,14,33,33,33,73,84,94,74,47
187,2013-07-07,34,31,31,25,16,16,21,31,25,28,52,88,88,73,57
188,2013-07-08,20,27,22,17,16,20,13,24,21,22,47,48,57,45,27
189,2013-07-09,23,29,32,25,15,16,9,30,28,23,49,81,63,73,50
190,2013-07-10,14,28,19,24,22,11,12,30,29,20,56,84,62,59,47
191,2013-07-11,25,36,21,20,12,17,14,24,23,25,54,84,74,52,48
192,2013-07-12,29,40,29,22,21,20,20,38,26,19,46,75,86,71,57
193,2013-07-13,22,27,21,28,20,21,20,38,34,34,62,87,88,69,42
194,2013-07-14,29,27,35,38,19,17,19,40,37,34,82,65,90,74,54
195,2013-07-15,18,17,24,27,9,12,15,29,23,23,39,68,58,65,40
196,2013-07-16,12,21,20,26,19,12,12,28,27,24,57,69,64,62,38
197,2013-07-17,16,31,24,19,20,17,21,15,16,32,55,73,59,62,33
198,2013-07-18,21,34,30,33,17,17,13,31,17,30,58,71,77,70,49
199,2013-07-19,25,37,32,28,13,16,14,29,31,35,57,95,59,61,44
200,2013-07-20,25,36,30,26,24,22,12,26,27,34,78,85,98,73,52
201,2013-07-21,26,34,35,28,21,15,12,34,40,30,62,98,86,85,55
202,2013-07-22,18,30,16,18,16,13,10,21,19,22,45,66,57,50,48
203,2013-07-23,17,28,21,20,7,14,14,30,18,26,51,78,73,48,32
204,2013-07-24,21,24,21,28,13,17,16,27,16,22,47,76,56,62,51
205,2013-07-25,21,33,33,20,25,12,11,36,32,23,57,91,75,84,47
206,2013-07-26,31,30,28,25,16,14,20,30,22,31,68,106,80,59,48
207,2013-07-27,19,45,32,29,21,17,20,33,18,24,67,83,67,69,51
208,2013-07-28,25,27,30,29,20,26,22,30,27,28,74,75,89,76,50
209,2013-07-29,8,24,22,16,20,17,13,13,22,22,40,75,55,46,32
210,2013-07-30,26,24,16,27,13,19,10,27,24,14,60,56,63,64,46
211,2013-07-31,27,19,23,21,17,23,14,24,11,29,48,71,72,74,38
212,2013-08-01,21,23,21,23,13,11,15,25,23,28,53,59,60,50,29
213,2013-08-02,19,32,25,21,19,16,14,21,22,25,53,86,73,56,40
214,2013-08-03,24,30,30,22,27,14,18,30,29,22,62,67,74,68,39
215,2013-08-04,26,30,21,26,17,16,20,32,23,28,55,70,84,65,50
216,2013-08-05,17,18,27,18,16,14,12,24,14,28,47,63,41,45,36
217,2013-08-06,10,22,30,15,19,12,11,27,23,14,60,68,59,58,40
218,2013-08-07,25,24,30,27,17,17,13,24,18,24,41,71,39,58,39
219,2013-08-08,20,30,18,23,12,21,12,21,15,18,54,71,70,60,43
220,2013-08-09,19,30,21,24,17,12,8,31,22,22,69,74,63,61,52
221,2013-08-10,22,25,27,25,19,16,18,26,27,26,53,80,82,48,45
222,2013-08-11,25,27,38,31,22,20,18,21,29,19,64,79,75,66,42
223,2013-08-12,10,27,9,16,14,11,15,20,14,17,36,55,53,46,23
224,2013-08-13,11,14,27,21,7,14,10,25,15,26,42,59,43,54,40
225,2013-08-14,19,26,26,24,12,20,9,29,13,34,40,71,58,66,36
226,2013-08-15,22,26,23,12,21,21,16,32,27,22,45,82,55,78,38
227,2013-08-16,15,27,26,26,11,14,14,34,23,18,47,72,56,71,61
228,2013-08-17,29,30,28,26,14,15,16,24,26,25,60,89,90,68,49
229,2013-08-18,27,25,27,29,19,17,13,24,21,30,60,106,78,82,44
230,2013-08-19,11,24,22,11,13,12,16,21,18,17,39,61,60,61,29
231,2013-08-20,15,18,33,17,11,16,12,18,25,20,48,57,63,48,37
232,2013-08-21,20,14,28,22,15,18,15,27,21,22,52,77,44,64,41
233,2013-08-22,20,27,21,29,9,17,19,24,27,25,44,72,55,75,40
234,2013-08-23,19,27,29,26,22,18,20,31,18,27,44,84,92,54,43
235,2013-08-24,19,26,20,20,15,22,19,23,16,30,64,76,71,60,52
236,2013-08-25,23,28,32,42,22,20,20,33,26,33,54,88,72,66,43
237,2013-08-26,11,23,16,20,16,15,16,27,18,13,37,56,60,44,29
238,2013-08-27,16,29,14,15,17,11,11,20,22,21,55,77,45,62,46
239,2013-08-28,20,30,21,11,12,13,17,27,22,22,49,55,61,63,41
240,2013-08-29,14,32,31,24,24,11,15,26,17,23,48,61,61,42,46
241,2013-08-30,20,35,23,22,19,18,20,22,26,30,56,68,63,60,54
242,2013-08-31,25,26,25,25,11,9,17,18,23,20,60,66,79,75,47
243,2013-09-01,25,25,25,28,19,9,16,32,21,27,42,81,61,68,49
244,2013-09-02,10,21,14,21,5,7,10,21,10,15,38,61,48,52,27
245,2013-09-03,16,23,18,17,16,6,20,25,24,22,45,65,45,35,35
246,2013-09-04,10,22,17,22,10,19,16,19,16,18,42,57,53,50,24
247,2013-09-05,16,28,20,20,16,9,8,23,29,30,45,60,54,46,37
248,2013-09-06,20,23,11,20,19,19,15,35,28,20,43,66,59,63,35
249,2013-09-07,20,23,29,21,16,16,11,21,21,18,60,73,57,56,38
250,2013-09-08,19,38,25,21,16,15,18,29,22,26,44,92,65,66,44
251,2013-09-09,15,18,23,22,16,8,9,16,11,20,36,52,35,48,36
252,2013-09-10,17,23,21,25,17,10,15,24,18,21,40,57,53,35,33
253,2013-09-11,26,18,17,24,13,13,11,31,18,16,47,72,59,60,37
254,2013-09-12,14,24,21,28,18,13,20,21,21,16,59,73,65,61,37
255,2013-09-13,16,28,25,22,13,16,11,28,19,25,50,60,60,56,47
256,2013-09-14,27,23,29,22,11,20,13,34,30,13,44,80,59,58,41
257,2013-09-15,14,27,30,26,27,11,20,24,27,23,46,88,61,67,42
258,2013-09-16,16,26,16,9,11,10,8,19,10,11,34,54,47,48,33
259,2013-09-17,20,23,20,19,9,14,7,14,22,17,43,67,50,48,38
260,2013-09-18,18,27,18,17,12,11,8,14,8,18,47,74,56,55,36
261,2013-09-19,16,26,23,25,15,15,16,22,22,23,47,54,52,54,31
262,2013-09-20,11,18,17,22,20,21,8,12,14,21,44,65,72,44,45
263,2013-09-21,13,29,27,22,14,14,14,22,26,38,56,60,64,55,45
264,2013-09-22,16,36,22,23,24,20,16,24,27,27,60,92,80,74,62
265,2013-09-23,18,16,19,16,13,11,12,18,26,27,39,54,51,44,34
266,2013-09-24,14,32,18,18,7,12,8,22,20,25,40,64,60,50,33
267,2013-09-25,17,25,25,12,10,14,15,21,16,20,39,60,58,50,27
268,2013-09-26,20,28,19,15,20,11,12,23,27,24,47,68,56,34,34
269,2013-09-27,22,23,19,15,12,13,15,12,28,24,54,83,55,50,53
270,2013-09-28,13,25,30,21,15,13,17,22,33,27,44,58,50,56,41
271,2013-09-29,20,21,37,19,23,17,14,22,18,26,56,83,79,65,48
272,2013-09-30,20,14,15,19,13,9,11,14,14,12,22,48,40,38,32
273,2013-10-01,12,21,18,16,13,12,10,17,23,17,36,57,53,50,30
274,2013-10-02,11,25,20,19,11,17,9,28,17,21,44,52,61,47,29
275,2013-10-03,14,24,22,23,10,17,10,21,24,24,31,77,53,66,38
276,2013-10-04,14,34,26,12,18,18,14,29,17,21,38,55,69,53,40
277,2013-10-05,14,25,11,17,29,13,17,23,20,18,52,68,61,56,39
278,2013-10-06,20,25,31,13,17,11,10,37,19,17,42,72,59,68,33
279,2013-10-07,13,20,25,8,16,13,9,19,12,15,40,51,41,39,30
280,2013-10-08,13,24,16,19,12,8,12,25,13,20,30,68,43,49,33
281,2013-10-09,14,23,20,21,18,11,14,25,10,18,45,57,41,33,27
282,2013-10-10,20,23,15,18,18,7,20,23,18,23,58,56,56,49,36
283,2013-10-11,17,27,22,22,15,13,6,30,16,22,45,65,67,43,42
284,2013-10-12,17,29,23,25,16,26,16,22,24,22,43,75,58,56,50
285,2013-10-13,20,22,20,16,16,19,18,19,29,19,53,58,60,62,43
286,2013-10-14,15,27,14,18,10,13,9,18,13,13,44,48,33,40,16
287,2013-10-15,15,15,24,23,16,4,10,21,17,27,32,61,46,56,23
288,2013-10-16,15,14,16,17,13,19,14,19,15,11,40,57,42,47,39
289,2013-10-17,10,36,24,11,19,13,14,29,17,19,51,75,41,36,41
290,2013-10-18,10,21,21,24,15,18,9,22,18,16,38,59,58,61,46
291,2013-10-19,18,29,25,22,12,18,15,31,17,23,46,68,56,64,37
292,2013-10-20,25,35,18,19,17,21,12,18,26,16,57,62,45,51,38
293,2013-10-21,13,15,13,12,5,8,6,13,15,10,33,55,38,50,31
294,2013-10-22,11,18,28,11,12,7,17,20,22,17,49,60,50,49,39
295,2013-10-23,16,23,16,21,16,9,13,21,14,18,45,56,57,50,32
296,2013-10-24,17,23,18,9,10,13,12,28,22,25,43,53,49,48,44
297,2013-10-25,18,22,18,21,16,18,5,20,15,21,32,73,71,49,38
298,2013-10-26,19,23,24,28,14,17,17,20,26,22,52,66,69,49,42
299,2013-10-27,14,18,23,20,12,20,14,33,21,23,54,61,67,56,43
300,2013-10-28,11,23,16,9,7,13,7,17,18,15,38,47,45,46,37
301,2013-10-29,17,18,28,14,10,9,4,12,18,27,34,46,50,39,33
302,2013-10-30,20,20,12,13,17,15,16,24,18,16,41,69,41,53,36
303,2013-10-31,21,34,19,16,11,12,10,26,18,14,44,57,56,61,39
304,2013-11-01,20,31,29,18,21,22,16,30,31,26,51,59,67,63,47
305,2013-11-02,24,23,20,18,24,22,14,31,31,16,50,66,83,49,54
306,2013-11-03,19,17,34,19,12,15,21,34,30,25,52,71,55,74,44
307,2013-11-04,12,15,20,21,13,17,15,16,18,15,32,51,54,48,34
308,2013-11-05,20,24,17,18,9,12,10,21,17,27,40,71,52,59,52
309,2013-11-06,16,28,13,18,14,13,15,17,18,21,41,63,57,44,31
310,2013-11-07,17,19,15,21,12,17,17,18,17,14,47,67,56,55,39
311,2013-11-08,22,26,28,28,17,15,22,18,24,31,43,65,66,45,34
312,2013-11-09,18,35,18,26,22,19,11,32,21,24,53,76,55,75,65
313,2013-11-10,23,41,31,15,16,21,20,32,29,27,68,70,65,51,46
314,2013-11-11,16,21,20,25,14,13,5,15,13,20,40,46,47,49,43
315,2013-11-12,20,24,20,14,20,14,10,15,8,18,41,70,54,46,31
316,2013-11-13,20,18,20,20,19,16,8,25,22,12,40,60,54,54,29
317,2013-11-14,9,24,26,22,12,15,15,17,28,18,53,64,71,53,43
318,2013-11-15,18,32,14,30,9,9,18,25,23,22,60,68,55,81,48
319,2013-11-16,13,29,27,16,20,9,12,26,23,30,54,86,63,62,43
320,2013-11-17,17,30,22,26,13,23,8,33,20,33,46,74,63,85,47
321,2013-11-18,17,19,13,24,7,16,9,14,20,19,24,44,59,37,36
322,2013-11-19,18,26,24,14,15,15,13,29,17,23,47,70,50,46,37
323,2013-11-20,17,24,18,22,11,16,11,25,21,20,40,64,59,49,36
324,2013-11-21,16,20,28,19,18,13,11,27,25,26,46,58,67,62,33
325,2013-11-22,17,19,33,17,18,12,18,20,17,18,53,70,58,54,41
326,2013-11-23,31,23,18,25,11,15,19,27,23,33,49,76,58,62,44
327,2013-11-24,20,18,33,22,20,14,18,29,32,30,63,75,70,54,47
328,2013-11-25,16,13,23,13,10,14,12,21,25,27,30,60,43,47,34
329,2013-11-26,25,22,18,17,13,13,10,25,26,15,55,73,66,47,33
330,2013-11-27,25,17,18,19,11,11,16,28,20,16,49,53,60,53,46
331,2013-11-28,17,22,33,23,16,22,16,21,14,21,54,63,61,44,30
332,2013-11-29,19,29,14,19,22,21,11,25,14,22,50,63,54,61,26
333,2013-11-30,30,24,22,21,14,12,14,32,22,34,56,68,65,65,50
334,2013-12-01,16,20,21,22,11,13,16,26,22,14,42,62,43,47,33
335,2013-12-02,8,11,12,13,10,15,5,18,8,4,31,47,30,31,17
336,2013-12-03,21,17,13,23,9,12,6,10,18,15,24,43,39,44,20
337,2013-12-04,6,16,14,18,10,10,9,29,13,18,31,37,37,38,28
338,2013-12-05,13,27,17,20,7,14,15,13,15,16,24,51,50,34,25
339,2013-12-06,15,20,15,16,15,11,16,14,16,17,33,47,51,48,21
340,2013-12-07,17,26,15,15,13,14,13,15,15,13,33,66,51,49,26
341,2013-12-08,17,19,19,15,10,13,14,19,14,17,43,48,61,48,31
342,2013-12-09,8,12,11,8,7,6,4,14,6,8,24,28,29,31,26
343,2013-12-10,14,22,11,11,8,9,8,13,13,20,24,46,47,41,32
344,2013-12-11,7,23,14,16,9,11,4,14,17,14,21,53,41,29,21
345,2013-12-12,5,10,12,13,7,11,8,18,11,15,32,46,35,40,24
346,2013-12-13,13,21,16,15,15,11,13,19,19,13,36,60,40,45,31
347,2013-12-14,16,18,23,15,13,12,15,16,17,15,40,44,56,41,24
348,2013-12-15,15,24,14,15,11,10,9,18,13,18,50,47,38,42,39
349,2013-12-16,15,10,18,10,8,7,11,8,13,13,19,44,39,31,21
350,2013-12-17,8,10,17,10,11,14,8,16,13,22,28,47,22,33,43
351,2013-12-18,18,15,10,13,11,9,18,24,4,19,38,38,38,34,28
352,2013-12-19,7,12,15,18,10,13,3,7,22,21,30,57,35,31,19
353,2013-12-20,13,21,18,14,6,10,22,19,17,19,30,58,45,40,30
